date,open,high,low,close,volume,diversity
2021-07-18 05:42:00,0.91,0.84,12.03,12.03,5.658000000000001,6
2021-07-18 09:47:00,12.03,12.03,24.85,24.85,1.467,9
2021-07-18 13:52:00,24.85,21.48,21.48,34.5,3.1521000000000003,9
2021-07-18 17:57:00,21.48,-24.55,-24.55,21.48,3.8641,9
2021-07-18 21:55:00,-24.55,-66.33,-66.33,-24.55,2.1086,6
2021-07-19 02:00:00,-66.33,-91.83,-90.27,-66.33,1.5168000000000001,6
2021-07-19 06:05:00,-90.27,-90.27,-87.65,-87.65,1.5165000000000002,6
2021-07-19 09:55:00,-87.65,-111.66,-111.44,-86.42,2.4301,6
2021-07-19 13:59:00,-111.44,-166.56,-166.56,-111.44,3.1623,7
2021-07-19 18:04:00,-166.56,-216.44,-216.44,-166.56,1.616,9
2021-07-19 22:03:00,-216.44,-219.47,-214.5,-214.5,4.937799999999999,11
2021-07-20 02:08:00,-214.5,-214.5,-209.06,-209.06,2.7689,6
2021-07-20 05:57:00,-209.06,-209.06,-205.7,-205.7,0.6007,4
2021-07-20 10:02:00,-205.7,-205.7,-193.54,-193.54,2.3705999999999996,5
2021-07-20 14:07:00,-193.54,-244.46,-244.46,-192.74,6.4742,9
2021-07-20 17:57:00,-244.46,-307.45,-307.45,-244.46,1.5112999999999999,8
2021-07-20 21:26:00,-307.45,-366.57,-366.57,-307.45,4.1137,4
2021-07-21 01:20:00,-366.57,-433.03,-433.03,-366.57,4.0912,4
2021-07-21 05:24:00,-433.03,-498.75,-498.75,-433.03,1.6979999999999997,4
2021-07-21 09:29:00,-498.75,-559.48,-559.48,-498.75,6.827399999999999,3
2021-07-21 13:34:00,-559.48,-580.03,-572.07,-559.48,2.5919999999999996,5
2021-07-21 17:40:00,-572.07,-572.07,-560.19,-560.19,5.3957,5
2021-07-21 21:45:00,-560.19,-560.19,-536.79,-536.79,5.2979,8
2021-07-22 01:49:00,-536.79,-536.79,-448.09,-448.09,7.925900000000001,5
2021-07-22 05:54:00,-448.09,-448.09,-361.9,-361.9,11.885000000000002,4
2021-07-22 09:59:00,-361.9,-361.9,-310.81,-310.81,11.764,4
2021-07-22 14:05:00,-310.81,-310.81,-306.44,-305.34,3.4113999999999995,7
2021-07-22 17:54:00,-306.44,-306.44,-284.64,-284.64,1.4223999999999999,6
2021-07-22 21:59:00,-284.64,-284.64,-270.28,-270.28,4.2427,6
2021-07-23 02:04:00,-270.28,-270.28,-237.57,-237.57,5.358700000000001,5
2021-07-23 06:08:00,-237.57,-237.57,-205.23,-205.23,3.4860999999999995,4
2021-07-23 09:58:00,-205.23,-205.23,-174.52,-174.52,12.7201,4
2021-07-23 14:03:00,-174.52,-174.52,-164.88,-164.88,4.0936,7
2021-07-23 17:59:00,-164.88,-164.88,-116.83,-116.83,5.4761,8
2021-07-23 22:05:00,-116.83,-116.83,-63.08,-63.08,8.9801,9
2021-07-24 01:56:00,-63.08,-63.08,-22.23,-22.23,16.403,8
2021-07-24 06:01:00,-22.23,-22.23,-9.27,-9.27,7.730600000000001,11
2021-07-24 10:06:00,-9.27,-9.27,-1.03,-1.03,2.8559,12
